XID,Name,Details,Indexes,Tags
c8bnprjin562g03a592g,White,hex:fff,,
c8bnprjin562g03a5930,Red,hex:f00,,
c8bnprjin562g03a593g,Green,hex:0f0,,
c8bnprjin562g03a5940,Blue,hex:00f,,
c8bnprjin562g03a594g,Cyan,hex:0ff,,
c8bnprjin562g03a5950,Magenta,hex:f0f,,
c8bnprjin562g03a595g,Yellow,hex:ff0,,
c8bnprjin562g03a5960,Black,hex:000,,
c8bnqbrin562gq597b3g,Rhododendron,hex:722b3f;pantone:19-2024 TCX,c8bnprjin562g03a5930,
c8bnqbrin562gq597b40,Baritone Blue,hex:272836;pantone:19-3812 TCX,c8bnprjin562g03a5940,
c8bnqbrin562gq597b4g,Symphonic Sunset,hex:d79d00;pantone:15-0954 TCX,c8bnprjin562g03a595g,
c8bnqbrin562gq597b50,Winterberry,hex:be394f;pantone:17-1640 TCX,c8bnprjin562g03a5930,
c8bnqbrin562gq597b5g,Powder Blue,hex:96b3d2;pantone:14-4214 TCX,c8bnprjin562g03a5940,
c8bnqbrin562gq597b60,Pale Marigold,hex:ffc66e;pantone:13-0945 TCX,c8bnprjin562g03a595g,
c8bnqbrin562gq597b6g,Sangria,hex:982551;pantone:19-2047 TCX,c8bnprjin562g03a5930,
c8bnqbrin562gq597b70,Saffron,hex:ffa500;pantone:14-1064 TCX,c8bnprjin562g03a595g,
c8bnqbrin562gq597b7g,Daiquiri Green,hex:c9d77e;pantone:12-0435 TCX,c8bnprjin562g03a593g,
